station_id,province,dly_date_first,dly_date_last,dly_years_active
32232,AB,2002-11-01,2021-07-05,19.0
374,BC,1978-01-01,2021-07-04,43.0
707,BC,1889-10-01,2021-06-29,132.0
706,BC,1988-11-01,2021-07-05,33.0
32253,AB,2002-12-01,2021-07-05,19.0
1485,BC,1899-03-01,2021-06-29,122.0
32231,AB,2002-11-01,2021-07-05,19.0
138,BC,1966-12-01,2021-07-05,55.0
27378,AB,1995-04-01,2021-07-05,26.0
568,BC,1888-02-01,2021-06-29,133.0
31408,AB,2002-01-01,2021-07-05,19.0
30641,AB,2000-12-01,2021-07-05,21.0
30669,AB,2001-01-01,2021-07-05,20.0
1100,BC,1984-11-01,2021-07-04,37.0
42703,AB,2004-06-01,2021-07-05,17.0
1237,BC,1969-12-01,2021-07-04,52.0
8214,BC,1992-12-02,2021-07-05,29.0
32149,AB,2002-11-01,2021-07-05,19.0
384,BC,1960-04-01,2021-07-04,61.0
8265,BC,1994-12-30,2021-07-05,27.0
10915,AB,1993-06-04,2021-07-05,28.0
42723,AB,2004-06-18,2021-07-05,17.0
10222,AB,1993-06-04,2021-07-05,28.0
10928,AB,2001-12-01,2021-07-05,20.0
31407,AB,2001-12-01,2021-07-05,20.0
2180,AB,1988-12-01,2021-07-05,33.0
2485,AB,1985-07-01,2021-07-03,36.0
731,BC,1965-02-01,2021-07-04,56.0
574,BC,1990-12-01,2021-07-05,31.0
27211,AB,1999-05-01,2021-07-05,22.0
43500,BC,2005-06-13,2021-07-05,16.0
145,BC,1965-01-01,2021-07-04,56.0
1839,AB,1946-03-01,2021-07-05,75.0
235,BC,1984-10-01,2021-07-04,37.0
26971,AB,1994-07-06,2021-07-05,27.0
1105,BC,1965-12-01,2021-07-04,56.0
1106,BC,1969-06-01,2021-07-04,52.0
8264,BC,1994-12-30,2021-07-05,27.0
32254,AB,2002-11-01,2021-07-05,19.0
153,BC,1958-07-01,2021-07-04,63.0
26,BC,1919-01-01,2021-07-04,102.0
2224,AB,1951-08-01,2021-07-05,70.0
32255,AB,2003-01-01,2021-07-05,18.0
747,BC,1964-01-01,2021-07-04,57.0
2832,AB,1952-12-01,2021-07-05,69.0
155,BC,1944-07-01,2021-07-05,77.0
32230,AB,2002-11-01,2021-07-05,19.0
9010,AB,1993-06-04,2021-07-05,28.0
27212,AB,1996-03-01,2021-07-05,25.0
6838,BC,1993-05-01,2021-07-05,28.0
10890,AB,1993-06-04,2021-07-05,28.0
6822,BC,1992-11-01,2021-07-05,29.0
31414,AB,2001-12-01,2021-07-05,20.0
6845,BC,1993-08-01,2021-07-05,28.0
32256,AB,2002-11-01,2021-07-05,19.0
766,BC,1971-03-01,2021-07-04,50.0
27226,BC,1997-04-01,2021-07-05,24.0
10708,AB,1995-10-06,2021-07-05,26.0
387,BC,1977-11-01,2021-07-02,44.0
1115,BC,1963-03-01,2021-07-04,58.0
27214,AB,1996-03-01,2021-07-05,25.0
27793,AB,1999-01-01,2021-07-05,22.0
30907,AB,2001-08-01,2021-07-05,20.0
1870,AB,1966-02-01,2021-07-04,55.0
27492,AB,1997-04-01,2021-07-05,24.0
27213,AB,1996-03-01,2021-07-05,25.0
31027,AB,2001-06-11,2021-07-05,20.0
1873,AB,1981-11-01,2021-07-05,40.0
42724,AB,2004-06-16,2021-07-05,17.0
29411,BC,1992-05-01,2021-07-05,29.0
132,BC,1987-05-01,2021-07-04,34.0
2513,AB,1987-09-01,2021-07-04,34.0
52,BC,1957-10-01,2021-07-05,64.0
244,BC,1908-07-01,2021-07-03,113.0
8040,BC,1993-01-18,2021-07-05,28.0
10225,AB,1993-06-04,2021-07-05,28.0
31469,AB,2002-02-01,2021-07-05,19.0
29733,BC,2000-04-01,2021-07-05,21.0
1180,BC,1913-12-01,2021-07-04,108.0
42727,AB,2004-06-01,2021-07-05,17.0
32257,AB,2002-12-01,2021-07-05,19.0
43723,BC,2005-04-01,2021-07-04,16.0
27216,AB,1996-05-01,2021-07-05,25.0
1886,AB,1958-03-01,2021-07-04,63.0
30495,AB,2000-09-29,2021-07-05,21.0
1186,BC,1968-03-01,2021-07-04,53.0
309,BC,1961-10-01,2021-07-04,60.0
1364,BC,1902-04-01,2021-07-03,119.0
8258,BC,1994-12-30,2021-07-05,27.0
26870,AB,1995-08-01,2021-07-05,26.0
8259,BC,1994-12-30,2021-07-05,27.0
173,BC,1984-04-01,2021-07-04,37.0
32274,AB,2002-12-01,2021-07-05,19.0
32395,AB,2002-11-01,2021-07-05,19.0
6823,BC,1991-01-01,2021-07-05,30.0
951,BC,1975-05-01,2021-07-04,46.0
470,BC,1957-07-01,2021-07-03,64.0
6817,BC,1991-07-01,2021-07-05,30.0
31409,AB,2001-12-01,2021-07-05,20.0
42728,AB,2004-06-01,2021-07-05,17.0
395,BC,1948-08-01,2021-07-04,73.0
10223,AB,1994-03-22,2021-07-05,27.0
27122,BC,1995-08-01,2021-07-04,26.0
42203,BC,2006-04-01,2021-07-05,15.0
1216,BC,1986-06-01,2021-06-30,35.0
2402,AB,1939-08-01,2021-06-28,82.0
396,BC,1951-08-01,2021-07-04,70.0
32313,AB,2002-12-01,2021-07-05,19.0
8062,BC,1994-12-30,2021-07-05,27.0
403,BC,1966-02-01,2021-07-03,55.0
402,BC,1954-01-01,2021-07-04,67.0
1199,BC,1968-11-01,2021-07-04,53.0
30726,AB,2001-02-01,2021-07-05,20.0
10906,AB,1993-06-04,2021-07-05,28.0
358,BC,1936-07-01,2021-07-04,85.0
6819,BC,1992-11-01,2021-07-05,29.0
43561,AB,2005-02-25,2021-07-05,16.0
257,BC,1980-05-01,2021-07-04,41.0
2265,AB,1908-02-01,2021-07-05,113.0
46867,AB,2004-03-31,2021-07-03,17.0
42726,AB,2004-06-01,2021-07-05,17.0
27388,BC,1997-11-24,2021-07-05,24.0
43560,AB,2005-02-25,2021-07-05,16.0
181,BC,1981-01-01,2021-06-30,40.0
1920,AB,1982-04-01,2021-07-04,39.0
6824,BC,1991-01-01,2021-07-05,30.0
44927,BC,2006-05-01,2021-07-05,15.0
65,BC,1920-01-01,2021-07-05,101.0
32394,AB,2002-11-01,2021-07-05,19.0
31411,AB,2002-04-01,2021-07-05,19.0
409,BC,1954-02-01,2021-07-04,67.0
617,BC,1972-03-01,2021-06-29,49.0
30347,AB,2000-08-01,2021-07-05,21.0
320,BC,1957-11-01,2021-07-03,64.0
1367,BC,1951-06-01,2021-07-03,70.0
1091,BC,1987-06-01,2021-06-29,34.0
10978,AB,1993-12-14,2021-07-05,28.0
8804,AB,1994-11-18,2021-07-05,27.0
810,BC,1962-10-01,2021-07-03,59.0
1935,AB,1983-04-01,2021-07-04,38.0
32433,AB,2002-11-01,2021-07-05,19.0
41785,AB,2003-06-01,2021-07-05,18.0
833,BC,1962-03-01,2021-07-03,59.0
10104,AB,1994-03-22,2021-07-05,27.0
6840,BC,1991-01-01,2021-07-05,30.0
189,BC,1981-08-01,2021-07-04,40.0
6839,BC,1992-11-01,2021-07-05,29.0
1137,BC,1983-01-01,2021-07-04,38.0
1095,BC,1990-07-01,2021-07-04,31.0
1142,BC,1924-01-01,2021-07-01,97.0
43580,AB,2005-02-25,2021-07-05,16.0
260,BC,1981-05-01,2021-06-28,40.0
30543,AB,2000-10-01,2021-07-05,21.0
76,BC,1981-03-01,2021-07-04,40.0
77,BC,1972-02-01,2021-07-03,49.0
1032,BC,1925-03-01,2021-07-04,96.0
2173,AB,1990-05-01,2021-07-03,31.0
32453,AB,2002-11-01,2021-07-05,19.0
